Date,Review,dt,Language,Review_EN,Sent_stars,Sent_label,Sent_score,T_Food,T_Service,T_View,T_Value,T_Ambiance
"Jul 18, 2026 18:58","The food was fine.  Not bad, not great.  The bites were probably the highlight - the main menu was fair.   Was expecting prettier views, too.  Restaurant is somewhat rundown and tables are too close together (my daughter and I felt like we were basically having dinner with the couple next to us).    Staff was friendly, though.",2026-07-18 18:58:00,en,"The food was fine.  Not bad, not great.  The bites were probably the highlight - the main menu was fair.   Was expecting prettier views, too.  Restaurant is somewhat rundown and tables are too close together (my daughter and I felt like we were basically having dinner with the couple next to us).    Staff was friendly, though.",3,neutral,0.0,1,1,1,0,1
"Jul 06, 2026 08:02","The food was very tasty, and the setting was beautiful. However, finding a hair in my dish completely spoiled the experience. I complained about it, but the waiter showed no real reaction. The hair was clearly stuck to the biscuit dough, so it hadn’t simply fallen onto the plate.

I find it disappointing that, in such a well-known restaurant, the only response I received was an “oh.”

We chose the four-course menu. The first course, the tuna, was far too salty. The second course, the cabbage, unfortunately contained the hair. The lamb, however, was absolutely delicious and cooked perfectly. Finally, the dessert was also excellent.

The service was impeccable and very efficient, but the lack of response to such an issue was disappointing.",2026-07-06 08:02:00,en,"The food was very tasty, and the setting was beautiful. However, finding a hair in my dish completely spoiled the experience. I complained about it, but the waiter showed no real reaction. The hair was clearly stuck to the biscuit dough, so it hadn’t simply fallen onto the plate.

I find it disappointing that, in such a well-known restaurant, the only response I received was an “oh.”

We chose the four-course menu. The first course, the tuna, was far too salty. The second course, the cabbage, unfortunately contained the hair. The lamb, however, was absolutely delicious and cooked perfectly. Finally, the dessert was also excellent.

The service was impeccable and very efficient, but the lack of response to such an issue was disappointing.",2,negative,-0.5,1,1,0,0,0
"Jun 28, 2026 00:13","The shrimp toast was amazing, and the tacos were really good. It would be even better if there were a broader lunch menu, with options like a rich baguette with cheese and steak, chicken, tuna, or salmon, or even a club sandwich. It would also be great to see drinks like a mojito or a classic old-school milkshake made with real vanilla ice cream on the menu. I highly recommend Moon chefs kiss.",2026-06-28 00:13:00,en,"The shrimp toast was amazing, and the tacos were really good. It would be even better if there were a broader lunch menu, with options like a rich baguette with cheese and steak, chicken, tuna, or salmon, or even a club sandwich. It would also be great to see drinks like a mojito or a classic old-school milkshake made with real vanilla ice cream on the menu. I highly recommend Moon chefs kiss.",5,positive,1.0,1,0,0,0,0
"Jun 26, 2026 21:37","Too hot. Airco not working properly. 1st course was great, second good and the rest we did not enjoy them… nobody at the table. The view is amazing and that is what you pay for but we agree is not a place to come back to. Service was ok. Fries were very oily, had to request other ones. The desserts were specially disappointing.",2026-06-26 21:37:00,en,"Too hot. Airco not working properly. 1st course was great, second good and the rest we did not enjoy them… nobody at the table. The view is amazing and that is what you pay for but we agree is not a place to come back to. Service was ok. Fries were very oily, had to request other ones. The desserts were specially disappointing.",2,negative,-0.5,1,1,1,0,1
"Jun 20, 2026 20:07","The price of the meal is extremely high. Without the view and the uniqueness of the venue, the meal itself offers little value for the money. The fish was too salty, and the cheese was served without bread—just a single olive cracker, which was not proportionate to the amount of cheese provided. As a result, there was cheese left over but no cracker to eat it with.",2026-06-20 20:07:00,en,"The price of the meal is extremely high. Without the view and the uniqueness of the venue, the meal itself offers little value for the money. The fish was too salty, and the cheese was served without bread—just a single olive cracker, which was not proportionate to the amount of cheese provided. As a result, there was cheese left over but no cracker to eat it with.",2,negative,-0.5,1,0,1,1,0
"Jun 14, 2026 17:38","Plats au prix excessif, ainsi que l 'eau, par contre la vue et le cadre sont jolis",2026-06-14 17:38:00,fr,"Overpriced dishes, as well as water, however the view and setting are pretty",3,neutral,0.0,1,0,1,1,0
"Jun 13, 2026 15:03","Mijn man en ik hebben gisteravond bij jullie gegeten. Het eten en de ambiance waren fantastisch en daar kunnen we alleen vol lof over zijn. 
Het puntje van kritiek dat we hebben betreft het bedienend personeel. Wanneer je een exclusief restaurant bent met een fantastische keuken met bijbehorende prijzen dan mag je ook gastheren en -dames verwachten die een toegevoegde waarde hebben op je bezoek. Je wil je als gast gezien voelen. In de watten gelegd worden. 
Het personeel gaf ons gisteren het idee er alleen te zijn om het eten en drinken op tafel te zetten met een snelle uitleg wat er op ons bord lag. Ze waren gehaast en gaven ons het gevoel de toevallige bezetting van een tafel te zijn ipv een gewaardeerde gast.  Dat was jammer.

Overall zijn we enthousiast over Moon en ik hoop dat jullie dit zien als opbouwende kritiek want  zo is het wel bedoeld. Zorg dat het personeel overeenkomt met de hoge standaard van de keuken en de ambiance en dat je je als gast in de watten gelegd voelt (wat je voor een dergelijke prijs mag verwachten).

Met vriendelijke groet,

Marie-Louise van der Linden",2026-06-13 15:03:00,nl,"My husband and I had dinner with you last night. The food and ambiance were fantastic and we can only be full of praise for that. 
The point of criticism we have concerns the waiting staff. If you are an exclusive restaurant with fantastic cuisine and corresponding prices, you can also expect hosts who have added value to your visit. You want to feel seen as a guest. Being pampered. 
Yesterday the staff gave us the idea that we were only there to put the food and drinks on the table with a quick explanation of what was on our plate. They were in a hurry and made us feel like the casual occupant of a table instead of a valued guest.  That was a shame.

Overall we are enthusiastic about Moon and I hope you see this as constructive criticism because that is how it is intended. Make sure the staff matches the high standard of cuisine and ambiance and that you as a guest feel pampered (which you would expect at such a price).

Kind regards,

Marie-Louise van der Linden",4,positive,0.5,1,1,0,1,1
"Jun 08, 2026 12:43",The food was really disappointing there is no option to add photos on here but for example the cheese plate my child could have done better. This was for my partner's birthday and it was very disappointing.,2026-06-08 12:43:00,en,The food was really disappointing there is no option to add photos on here but for example the cheese plate my child could have done better. This was for my partner's birthday and it was very disappointing.,2,negative,-0.5,1,0,0,0,0
"May 28, 2026 11:46","Goedemiddag,
We hebben eigenlijk heerlijk genoten van het diner bij jullie maar wil toch graag 2 puntjes van aandacht aan jullie doorgeven (als ik kies voor ""satisfied"" dan kan ik geen comments toevoegen).
De gastheer bij binnenkomst was zeer attent (en leuk dat hij een compliment over mijn outfit maakte). De midde-blonde gastvrouw was ook zeer attent en geïntereseerd (het was de 18e verjaardag van onze zoon). 
Een open keuken is super leuk echter wordt alles door de gasten gehoord en dat betekent ook dat als er een meningsverschil is dit ook door de gast wordt opgemerkt...(de HeadChef was boos) Er was een andere gastvrouw die bij het dessert een ""verjaardagstaartje"" kwam brengen. Het enige wat ze zei is ""voor wie is het verjaardagstaartje"" en zette het vervolgens bij mijn zoon neer. Dit voelde functioneel en zij had hier meer gastvrijheid in mogen zetten. Echt jammer want dan voelt een verrassing toch net wat anders.  Stuur mij gerust nog een keer de link voor de review zodat ik dan voor ""satisfied"" kan kiezen.  Groet, Wencke Bolsius",2026-05-28 11:46:00,nl,"Good afternoon,
We actually enjoyed dinner with you, but I would like to pass on 2 points of attention to you (if I choose ""satisfied"" I cannot add comments).
The host upon arrival was very attentive (and nice that he complimented my outfit). The medium-blonde hostess was also very attentive and interested (it was our son's 18th birthday). 
An open kitchen is great fun, but everything is heard by the guests and that also means that if there is a difference of opinion, this will also be noticed by the guest... (the HeadChef was angry) There was another hostess who brought a ""birthday cake"" with dessert. All she said is ""who is the birthday cake for"" and then placed it in front of my son. This felt functional and she could have used more hospitality here. It's a real shame because then a surprise feels a little different.  Feel free to send me the link for the review again so that I can choose ""satisfied"".  Greetings, Wencke Bolsius",3,neutral,0.0,1,1,0,0,0
"May 25, 2026 20:07","Te weinig mogelijkheden om te kiezen. Toetje was zeer slecht, veel te zuur. Prijs kwaliteit niet in balans",2026-05-25 20:07:00,nl,"Too few options to choose. Dessert was very bad, much too sour. Price quality not in balance",2,negative,-0.5,1,0,0,1,0
"May 25, 2026 14:50","Alles was eigenlijk goed.. de service, de vriendelijkheid en de sfeer..
Alleen 1 minpuntje over het eten.
De eend was niet mals maar echt taai.. ik zou dit gerecht niet bij vrienden aan raden !
Verder was het eten goed en lekken en mooi geserveerd",2026-05-25 14:50:00,nl,"Everything was actually good.. the service, the friendliness and the atmosphere..
Only 1 minus about the food.
The duck was not tender but really tough... I would not recommend this dish to friends!
Furthermore, the food was good and leaking and nicely served",2,negative,-0.5,1,1,0,0,1
"May 23, 2026 20:42","Service was not good.... no one wished my daughter happy birthday upon arrival or sitting even if it was in the system
Food quality and especially presentation was really poor- expected much better. The red cabbage and pakchoi was so bad! 
Wine was also terrible...got a headache after coming home
Really had high expectations but not met",2026-05-23 20:42:00,en,"Service was not good.... no one wished my daughter happy birthday upon arrival or sitting even if it was in the system
Food quality and especially presentation was really poor- expected much better. The red cabbage and pakchoi was so bad! 
Wine was also terrible...got a headache after coming home
Really had high expectations but not met",1,negative,-1.0,1,1,0,0,0
"May 19, 2026 10:46","Een van mijn tafelgenoten heeft in MOON op 13/05 een ernstige voedselvergiftiging opgelopen,(ref.brioche paté)",2026-05-19 10:46:00,nl,One of my table companions suffered serious food poisoning in MOON on 13/05 (ref.brioche pate),1,negative,-1.0,1,0,0,0,0
"May 18, 2026 20:14","Hi, ik had speciaal gebeld of er rekening gehouden kon worden met een zwangerschap. Omdat ik iets op papier had ben ik zelfs nog een keer langsgegaan de dag ervoor om te checken of t echt allemaal
Goed kwam. En vervolgens stond er toch iemand aan tafel met de vraag of we zin hadden in mimosa’s. Gemiste kans. Verder was het eten wel allemaal fijn en goeds bijzonder leuke actie voor 10 jaar! Veel dank",2026-05-18 20:14:00,nl,"Hi, I had called specifically to ask if a pregnancy could be taken into account. Because I had something on paper, I even went by again the day before to check if everything was really there
Well came. And then someone stood at the table asking if we would like mimosas. Missed opportunity. Furthermore, the food was all nice and good, a very nice promotion for 10 years! Many thanks",5,positive,1.0,1,0,0,0,0
"May 18, 2026 10:43","Hi! 
We had a great breakfast celebrating ADAM's 10 year's anniversary. We ordered an extra 5 coffees, but there was miscommunication between the waiters/waitresses and therefore we felt hurried up, due to the not so professional communication. Everybody needs to learn, no problem, but don't leave a trace of your stress that concerns something your customer can't help.",2026-05-18 10:43:00,en,"Hi! 
We had a great breakfast celebrating ADAM's 10 year's anniversary. We ordered an extra 5 coffees, but there was miscommunication between the waiters/waitresses and therefore we felt hurried up, due to the not so professional communication. Everybody needs to learn, no problem, but don't leave a trace of your stress that concerns something your customer can't help.",2,negative,-0.5,0,1,0,0,0
"May 11, 2026 09:42","We waited 15-20 minutes for the oportunite to place our APERITIF order. 
Those drinks came in 5-10 minutes and almost at the SAME TIME the first course was served.
Order for wines was taken AFTER the first course..
At the end of the menu we were quite impolitely told that we should pay and leave.
That time we had still a good amount of wine in our glasses. 
Totally I should say, that customer service was very poor! ",2026-05-11 09:42:00,en,"We waited 15-20 minutes for the oportunite to place our APERITIF order. 
Those drinks came in 5-10 minutes and almost at the SAME TIME the first course was served.
Order for wines was taken AFTER the first course..
At the end of the menu we were quite impolitely told that we should pay and leave.
That time we had still a good amount of wine in our glasses. 
Totally I should say, that customer service was very poor!",1,negative,-1.0,1,1,0,0,0
"Apr 26, 2026 15:24","From the 4-courses, the second course was cabbage, it didnot taste well, the dessert was the chocolate also not good taste. Both dishes I barely ate. Food can be so much better! I",2026-04-26 15:24:00,en,"From the 4-courses, the second course was cabbage, it didnot taste well, the dessert was the chocolate also not good taste. Both dishes I barely ate. Food can be so much better! I",2,negative,-0.5,1,0,0,0,0
"Apr 25, 2026 20:09","Eten vloog de keuken uit, twee gangen binnen 40 min na aankomst op tafel.
Personeel wat vergeet drinken aan te slaan waardoor we geen drankje bij het hoofdgerecht hadden.
Eten was prima, maar had er meer van verwas voor het geld.

Verder vriendelijke sommelier en fenomenaal uitzicht",2026-04-25 20:09:00,nl,"Food flew out of the kitchen, two courses within 40 minutes of arriving on the table.
Staff forgot to bring drinks so we didn't have a drink with the main course.
Food was fine, but could have had more for the money.

Furthermore, friendly sommelier and phenomenal view",4,positive,0.5,1,1,1,1,0
"Apr 24, 2026 02:49","Drinks menu very limited.
Music entirely bass beat oriented and boring.
Service slow.
We reserved with you in February, then you told us you double booked due to a technical error and could in no way accommodate us, even after I wrote and begged for a chance as it was our last night in Amsterdam and our 49th anniversary.  Then suddenly, on the 22nd, our Viking host was able to get us a reservation, and when we arrived at 6:30, you were hardly busy.  What gives?  You certainly did not make a good impression on us nor our Viking hosts.",2026-04-24 02:49:00,en,"Drinks menu very limited.
Music entirely bass beat oriented and boring.
Service slow.
We reserved with you in February, then you told us you double booked due to a technical error and could in no way accommodate us, even after I wrote and begged for a chance as it was our last night in Amsterdam and our 49th anniversary.  Then suddenly, on the 22nd, our Viking host was able to get us a reservation, and when we arrived at 6:30, you were hardly busy.  What gives?  You certainly did not make a good impression on us nor our Viking hosts.",1,negative,-1.0,1,1,0,0,1
"Apr 22, 2026 09:10","Prima eten, uitstekende bediening, prachtig uitzicht, maar welke puber heeft bedacht dat mensen daar komen om naar die keiharde muziek te luisteren?  ZONDE!!! het is onmogelijk om een normaal gesprek te voeren, en kom dus niet meer terug.

Pubers lijken mij net jullie doelgroep, dus ik weet niet goed wie jullie blij denken te maken met die herrie.",2026-04-22 09:10:00,nl,"Great food, excellent service, beautiful view, but what teenager thought that people come there to listen to that loud music?  SHAME!!! it's impossible to have a normal conversation, so don't come back.

Adolescents seem like your target group to me, so I don't really know who you think makes happy with that noise.",2,negative,-0.5,1,1,1,0,1
"Apr 07, 2026 20:55",not satisfied,2026-04-07 20:55:00,lv,not satisfied,2,negative,-0.5,0,0,0,0,0
"Apr 05, 2026 19:07","I had a very pleasant evening just up to the end. Just after last course we were asked to leave in ten minutes, because you had a booking for the table. I just asked were it was mentioned that we had limited time available. Not noticed anything in my reservation acknowledgement, I would not have accepted such a booking. This was a great disappointment and not showing hospitallity at all.",2026-04-05 19:07:00,en,"I had a very pleasant evening just up to the end. Just after last course we were asked to leave in ten minutes, because you had a booking for the table. I just asked were it was mentioned that we had limited time available. Not noticed anything in my reservation acknowledgement, I would not have accepted such a booking. This was a great disappointment and not showing hospitallity at all.",1,negative,-1.0,1,1,0,0,0
"Mar 29, 2026 19:56",We voelen ons zwaar opgelicht. Je betaalt om naar boven te gaan met een lift met lichtjes en een foto en om uiteten te gaan bij Moon . Dit terwijl als je bij het restaurant moon reserveert je gratis naar boven gaat.  Dus we hebben 62 euro weggegooid.,2026-03-29 19:56:00,nl,We feel seriously ripped off. You pay to go up in an elevator with lights and a photo and to have dinner at Moon. While if you make a reservation at the moon restaurant you can go up for free.  So we threw away 62 euros.,1,negative,-1.0,0,1,0,0,0
